Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Cidade,Regiao
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,1.0,1.0,2.0,...,...,...,...,...,...,...,...,...,4.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,2.0,0.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,20.0,17.0,13.0,...,...,...,...,...,...,...,...,...,50.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,8.0,9.0,5.0,...,...,...,...,...,...,...,...,...,22.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,28.0,26.0,18.0,...,...,...,...,...,...,...,...,...,72.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,10.0,14.0,8.0,...,...,...,...,...,...,...,...,...,32.0,2020,Arujá,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,101.0,50.0,55.0,...,...,...,...,...,...,...,...,...,206.0,2020,Arujá,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,1.0,0.0,3.0,...,...,...,...,...,...,...,...,...,4.0,2020,Barueri,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,13.0,14.0,15.0,...,...,...,...,...,...,...,...,...,42.0,2020,Barueri,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Barueri,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0.0,3.0,1.0,...,...,...,...,...,...,...,...,...,4.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,0.0,7.0,5.0,...,...,...,...,...,...,...,...,...,12.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,23.0,35.0,28.0,...,...,...,...,...,...,...,...,...,86.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,5.0,8.0,0.0,...,...,...,...,...,...,...,...,...,13.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,1.0,3.0,0.0,...,...,...,...,...,...,...,...,...,4.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,22.0,36.0,28.0,...,...,...,...,...,...,...,...,...,86.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,22.0,23.0,22.0,...,...,...,...,...,...,...,...,...,67.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,45.0,58.0,50.0,...,...,...,...,...,...,...,...,...,153.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,14.0,13.0,11.0,...,...,...,...,...,...,...,...,...,38.0,2020,Barueri,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,112.0,146.0,101.0,...,...,...,...,...,...,...,...,...,359.0,2020,Barueri,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,0.0,2.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,4.0,0.0,1.0,...,...,...,...,...,...,...,...,...,5.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,1.0,3.0,5.0,...,...,...,...,...,...,...,...,...,9.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,1.0,3.0,6.0,...,...,...,...,...,...,...,...,...,10.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,3.0,2.0,3.0,...,...,...,...,...,...,...,...,...,8.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,4.0,5.0,8.0,...,...,...,...,...,...,...,...,...,17.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,7.0,5.0,2.0,...,...,...,...,...,...,...,...,...,14.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,13.0,24.0,18.0,...,...,...,...,...,...,...,...,...,55.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,7.0,5.0,4.0,...,...,...,...,...,...,...,...,...,16.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,23.0,18.0,16.0,...,...,...,...,...,...,...,...,...,57.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,2.0,2.0,0.0,...,...,...,...,...,...,...,...,...,4.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,25.0,14.0,19.0,...,...,...,...,...,...,...,...,...,58.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,15.0,17.0,15.0,...,...,...,...,...,...,...,...,...,47.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,41.0,31.0,33.0,...,...,...,...,...,...,...,...,...,105.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,11.0,7.0,12.0,...,...,...,...,...,...,...,...,...,30.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,75.0,56.0,73.0,...,...,...,...,...,...,...,...,...,204.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,2.0,4.0,8.0,...,...,...,...,...,...,...,...,...,14.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),4.0,3.0,11.0,...,...,...,...,...,...,...,...,...,18.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,0.0,6.0,1.0,...,...,...,...,...,...,...,...,...,7.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,14.0,10.0,15.0,...,...,...,...,...,...,...,...,...,39.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,1.0,2.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,0.0,2.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,14.0,11.0,15.0,...,...,...,...,...,...,...,...,...,40.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,6.0,11.0,8.0,...,...,...,...,...,...,...,...,...,25.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,20.0,22.0,23.0,...,...,...,...,...,...,...,...,...,65.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,6.0,5.0,4.0,...,...,...,...,...,...,...,...,...,15.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,38.0,54.0,67.0,...,...,...,...,...,...,...,...,...,159.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,2.0,4.0,3.0,...,...,...,...,...,...,...,...,...,9.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,26.0,21.0,29.0,...,...,...,...,...,...,...,...,...,76.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0.0,2.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1.0,2.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,5.0,6.0,7.0,...,...,...,...,...,...,...,...,...,18.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,44.0,57.0,63.0,...,...,...,...,...,...,...,...,...,164.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,13.0,17.0,10.0,...,...,...,...,...,...,...,...,...,40.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,4.0,5.0,4.0,...,...,...,...,...,...,...,...,...,13.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,62.0,73.0,76.0,...,...,...,...,...,...,...,...,...,211.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,28.0,38.0,36.0,...,...,...,...,...,...,...,...,...,102.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,79.0,101.0,107.0,...,...,...,...,...,...,...,...,...,287.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,35.0,38.0,35.0,...,...,...,...,...,...,...,...,...,108.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,205.0,115.0,145.0,...,...,...,...,...,...,...,...,...,465.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Cotia,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,7.0,11.0,7.0,...,...,...,...,...,...,...,...,...,25.0,2020,Cotia,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cotia,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1.0,3.0,3.0,...,...,...,...,...,...,...,...,...,7.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,17.0,9.0,8.0,...,...,...,...,...,...,...,...,...,34.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,21.0,32.0,37.0,...,...,...,...,...,...,...,...,...,90.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,21.0,38.0,45.0,...,...,...,...,...,...,...,...,...,104.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,30.0,12.0,27.0,...,...,...,...,...,...,...,...,...,69.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,51.0,44.0,64.0,...,...,...,...,...,...,...,...,...,159.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,25.0,11.0,17.0,...,...,...,...,...,...,...,...,...,53.0,2020,Cotia,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,172.0,111.0,102.0,...,...,...,...,...,...,...,...,...,385.0,2020,Cotia,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,2.0,0.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Diadema,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,32.0,32.0,28.0,...,...,...,...,...,...,...,...,...,92.0,2020,Diadema,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),12.0,11.0,13.0,...,...,...,...,...,...,...,...,...,36.0,2020,Diadema,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,6.0,5.0,0.0,...,...,...,...,...,...,...,...,...,11.0,2020,Diadema,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,6.0,6.0,18.0,...,...,...,...,...,...,...,...,...,30.0,2020,Diadema,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,69.0,67.0,57.0,...,...,...,...,...,...,...,...,...,193.0,2020,Diadema,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,10.0,8.0,15.0,...,...,...,...,...,...,...,...,...,33.0,2020,Diadema,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,6.0,7.0,6.0,...,...,...,...,...,...,...,...,...,19.0,2020,Diadema,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,81.0,77.0,68.0,...,...,...,...,...,...,...,...,...,226.0,2020,Diadema,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,40.0,31.0,47.0,...,...,...,...,...,...,...,...,...,118.0,2020,Diadema,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,119.0,102.0,114.0,...,...,...,...,...,...,...,...,...,335.0,2020,Diadema,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,36.0,55.0,60.0,...,...,...,...,...,...,...,...,...,151.0,2020,Diadema,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,296.0,182.0,165.0,...,...,...,...,...,...,...,...,...,643.0,2020,Diadema,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,5.0,2.0,1.0,...,...,...,...,...,...,...,...,...,8.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,6.0,6.0,8.0,...,...,...,...,...,...,...,...,...,20.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),1.0,1.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,2.0,3.0,1.0,...,...,...,...,...,...,...,...,...,6.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,1.0,6.0,2.0,...,...,...,...,...,...,...,...,...,9.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,19.0,22.0,22.0,...,...,...,...,...,...,...,...,...,63.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,4.0,3.0,0.0,...,...,...,...,...,...,...,...,...,7.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,23.0,26.0,23.0,...,...,...,...,...,...,...,...,...,72.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,14.0,18.0,20.0,...,...,...,...,...,...,...,...,...,52.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,37.0,47.0,36.0,...,...,...,...,...,...,...,...,...,120.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,26.0,17.0,14.0,...,...,...,...,...,...,...,...,...,57.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,129.0,128.0,111.0,...,...,...,...,...,...,...,...,...,368.0,2020,Embu das Artes,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0.0,2.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,1.0,5.0,4.0,...,...,...,...,...,...,...,...,...,10.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1.0,0.0,5.0,...,...,...,...,...,...,...,...,...,6.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,1.0,1.0,9.0,...,...,...,...,...,...,...,...,...,11.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,7.0,7.0,12.0,...,...,...,...,...,...,...,...,...,26.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,0.0,1.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,7.0,7.0,12.0,...,...,...,...,...,...,...,...,...,26.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,8.0,8.0,6.0,...,...,...,...,...,...,...,...,...,22.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,15.0,15.0,18.0,...,...,...,...,...,...,...,...,...,48.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,2.0,3.0,5.0,...,...,...,...,...,...,...,...,...,10.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,50.0,45.0,46.0,...,...,...,...,...,...,...,...,...,141.0,2020,Embu Guaçú,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE TRÁFICO DE ENTORPECENTES,3.0,5.0,6.0,...,...,...,...,...,...,...,...,...,14.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE APREENSÃO DE ENTORPECENTES(1),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE ILEGAL DE ARMA,1.0,1.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
Nº DE ARMAS DE FOGO APREENDIDAS,10.0,2.0,3.0,...,...,...,...,...,...,...,...,...,15.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
Nº DE FLAGRANTES LAVRADOS,18.0,18.0,22.0,...,...,...,...,...,...,...,...,...,58.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS EM FLAGRANTE,2.0,0.0,2.0,...,...,...,...,...,...,...,...,...,4.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
Nº DE INFRATORES APREENDIDOS POR MANDADO,2.0,0.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS EM FLAGRANTE,23.0,20.0,27.0,...,...,...,...,...,...,...,...,...,70.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
Nº DE PESSOAS PRESAS POR MANDADO,15.0,3.0,14.0,...,...,...,...,...,...,...,...,...,32.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
Nº DE PRISÕES EFETUADAS,33.0,21.0,36.0,...,...,...,...,...,...,...,...,...,90.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
Nº DE VEÍCULOS RECUPERADOS,15.0,15.0,10.0,...,...,...,...,...,...,...,...,...,40.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
TOT. DE INQUÉRITOS POLICIAIS INSTAURADOS,78.0,60.0,73.0,...,...,...,...,...,...,...,...,...,211.0,2020,Ferraz de Vasconcelos,Grande São Paulo (exclui a Capital)
OCORRÊNCIAS DE PORTE DE ENTORPECENTES,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Francisco Morato,Grande São Paulo (exclui a Capital)
