Natureza,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total,Ano,Cidade,Regiao
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Arujá,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO OUTROS,0.0,2.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Arujá,Grande São Paulo (exclui a Capital)
TENTATIVA DE HOMICÍDIO,3.0,1.0,1.0,...,...,...,...,...,...,...,...,...,5.0,2020,Arujá,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Arujá,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL DOLOSA,40.0,26.0,16.0,...,...,...,...,...,...,...,...,...,82.0,2020,Arujá,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,10.0,6.0,3.0,...,...,...,...,...,...,...,...,...,19.0,2020,Arujá,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA - OUTRAS,1.0,1.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Arujá,Grande São Paulo (exclui a Capital)
LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Arujá,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Arujá,Grande São Paulo (exclui a Capital)
TOTAL DE ESTUPRO (4),2.0,4.0,3.0,...,...,...,...,...,...,...,...,...,9.0,2020,Arujá,Grande São Paulo (exclui a Capital)
ESTUPRO,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Arujá,Grande São Paulo (exclui a Capital)
ESTUPRO DE VULNERÁVEL,1.0,4.0,3.0,...,...,...,...,...,...,...,...,...,8.0,2020,Arujá,Grande São Paulo (exclui a Capital)
TOTAL DE ROUBO - OUTROS (1),24.0,29.0,20.0,...,...,...,...,...,...,...,...,...,73.0,2020,Arujá,Grande São Paulo (exclui a Capital)
ROUBO - OUTROS,23.0,27.0,19.0,...,...,...,...,...,...,...,...,...,69.0,2020,Arujá,Grande São Paulo (exclui a Capital)
ROUBO DE VEÍCULO,11.0,4.0,13.0,...,...,...,...,...,...,...,...,...,28.0,2020,Arujá,Grande São Paulo (exclui a Capital)
ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Arujá,Grande São Paulo (exclui a Capital)
ROUBO DE CARGA,1.0,2.0,1.0,...,...,...,...,...,...,...,...,...,4.0,2020,Arujá,Grande São Paulo (exclui a Capital)
FURTO - OUTROS,45.0,41.0,47.0,...,...,...,...,...,...,...,...,...,133.0,2020,Arujá,Grande São Paulo (exclui a Capital)
FURTO DE VEÍCULO,12.0,17.0,18.0,...,...,...,...,...,...,...,...,...,47.0,2020,Arujá,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO (2),2.0,0.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),2.0,0.0,1.0,...,...,...,...,...,...,...,...,...,3.0,2020,Barueri,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Barueri,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,1.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2020,Barueri,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Barueri,Grande São Paulo (exclui a Capital)
TENTATIVA DE HOMICÍDIO,0.0,2.0,3.0,...,...,...,...,...,...,...,...,...,5.0,2020,Barueri,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Barueri,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL DOLOSA,62.0,64.0,46.0,...,...,...,...,...,...,...,...,...,172.0,2020,Barueri,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,47.0,38.0,38.0,...,...,...,...,...,...,...,...,...,123.0,2020,Barueri,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Barueri,Grande São Paulo (exclui a Capital)
LATROCÍNIO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Barueri,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Barueri,Grande São Paulo (exclui a Capital)
TOTAL DE ESTUPRO (4),11.0,6.0,4.0,...,...,...,...,...,...,...,...,...,21.0,2020,Barueri,Grande São Paulo (exclui a Capital)
ESTUPRO,2.0,3.0,1.0,...,...,...,...,...,...,...,...,...,6.0,2020,Barueri,Grande São Paulo (exclui a Capital)
ESTUPRO DE VULNERÁVEL,9.0,3.0,3.0,...,...,...,...,...,...,...,...,...,15.0,2020,Barueri,Grande São Paulo (exclui a Capital)
TOTAL DE ROUBO - OUTROS (1),88.0,75.0,71.0,...,...,...,...,...,...,...,...,...,234.0,2020,Barueri,Grande São Paulo (exclui a Capital)
ROUBO - OUTROS,84.0,68.0,60.0,...,...,...,...,...,...,...,...,...,212.0,2020,Barueri,Grande São Paulo (exclui a Capital)
ROUBO DE VEÍCULO,15.0,18.0,5.0,...,...,...,...,...,...,...,...,...,38.0,2020,Barueri,Grande São Paulo (exclui a Capital)
ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Barueri,Grande São Paulo (exclui a Capital)
ROUBO DE CARGA,4.0,7.0,11.0,...,...,...,...,...,...,...,...,...,22.0,2020,Barueri,Grande São Paulo (exclui a Capital)
FURTO - OUTROS,207.0,190.0,149.0,...,...,...,...,...,...,...,...,...,546.0,2020,Barueri,Grande São Paulo (exclui a Capital)
FURTO DE VEÍCULO,41.0,41.0,26.0,...,...,...,...,...,...,...,...,...,108.0,2020,Barueri,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO (2),0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
TENTATIVA DE HOMICÍDIO,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL DOLOSA,7.0,6.0,13.0,...,...,...,...,...,...,...,...,...,26.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,0.0,1.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
TOTAL DE ESTUPRO (4),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
ESTUPRO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
ESTUPRO DE VULNERÁVEL,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
TOTAL DE ROUBO - OUTROS (1),2.0,2.0,1.0,...,...,...,...,...,...,...,...,...,5.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
ROUBO - OUTROS,2.0,2.0,1.0,...,...,...,...,...,...,...,...,...,5.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
ROUBO DE VEÍCULO,0.0,1.0,2.0,...,...,...,...,...,...,...,...,...,3.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
ROUBO DE CARGA,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
FURTO - OUTROS,18.0,17.0,15.0,...,...,...,...,...,...,...,...,...,50.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
FURTO DE VEÍCULO,1.0,2.0,1.0,...,...,...,...,...,...,...,...,...,4.0,2020,Biritiba Mirim,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO (2),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
TENTATIVA DE HOMICÍDIO,1.0,1.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL DOLOSA,16.0,31.0,18.0,...,...,...,...,...,...,...,...,...,65.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,12.0,5.0,9.0,...,...,...,...,...,...,...,...,...,26.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA - OUTRAS,1.0,4.0,1.0,...,...,...,...,...,...,...,...,...,6.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
TOTAL DE ESTUPRO (4),2.0,1.0,2.0,...,...,...,...,...,...,...,...,...,5.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
ESTUPRO,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
ESTUPRO DE VULNERÁVEL,1.0,1.0,2.0,...,...,...,...,...,...,...,...,...,4.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
TOTAL DE ROUBO - OUTROS (1),21.0,9.0,11.0,...,...,...,...,...,...,...,...,...,41.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
ROUBO - OUTROS,20.0,6.0,8.0,...,...,...,...,...,...,...,...,...,34.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
ROUBO DE VEÍCULO,4.0,4.0,7.0,...,...,...,...,...,...,...,...,...,15.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
ROUBO DE CARGA,1.0,3.0,3.0,...,...,...,...,...,...,...,...,...,7.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
FURTO - OUTROS,46.0,16.0,23.0,...,...,...,...,...,...,...,...,...,85.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
FURTO DE VEÍCULO,3.0,6.0,5.0,...,...,...,...,...,...,...,...,...,14.0,2020,Caieiras,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO (2),1.0,1.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),1.0,1.0,0.0,...,...,...,...,...,...,...,...,...,2.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,1.0,0.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO OUTROS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
TENTATIVA DE HOMICÍDIO,0.0,1.0,2.0,...,...,...,...,...,...,...,...,...,3.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL DOLOSA,17.0,14.0,22.0,...,...,...,...,...,...,...,...,...,53.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,14.0,6.0,12.0,...,...,...,...,...,...,...,...,...,32.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
TOTAL DE ESTUPRO (4),1.0,1.0,3.0,...,...,...,...,...,...,...,...,...,5.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
ESTUPRO,1.0,0.0,3.0,...,...,...,...,...,...,...,...,...,4.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
ESTUPRO DE VULNERÁVEL,0.0,1.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
TOTAL DE ROUBO - OUTROS (1),14.0,16.0,9.0,...,...,...,...,...,...,...,...,...,39.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
ROUBO - OUTROS,12.0,15.0,9.0,...,...,...,...,...,...,...,...,...,36.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
ROUBO DE VEÍCULO,3.0,5.0,1.0,...,...,...,...,...,...,...,...,...,9.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
ROUBO DE CARGA,2.0,1.0,0.0,...,...,...,...,...,...,...,...,...,3.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
FURTO - OUTROS,37.0,19.0,18.0,...,...,...,...,...,...,...,...,...,74.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
FURTO DE VEÍCULO,4.0,7.0,3.0,...,...,...,...,...,...,...,...,...,14.0,2020,Cajamar,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO (2),3.0,3.0,1.0,...,...,...,...,...,...,...,...,...,7.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),3.0,3.0,1.0,...,...,...,...,...,...,...,...,...,7.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO OUTROS,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
TENTATIVA DE HOMICÍDIO,3.0,3.0,2.0,...,...,...,...,...,...,...,...,...,8.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL SEGUIDA DE MORTE,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL DOLOSA,87.0,80.0,80.0,...,...,...,...,...,...,...,...,...,247.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,30.0,26.0,25.0,...,...,...,...,...,...,...,...,...,81.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL CULPOSA - OUTRAS,0.0,0.0,1.0,...,...,...,...,...,...,...,...,...,1.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM LATROCÍNIO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
TOTAL DE ESTUPRO (4),9.0,5.0,8.0,...,...,...,...,...,...,...,...,...,22.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
ESTUPRO,1.0,0.0,0.0,...,...,...,...,...,...,...,...,...,1.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
ESTUPRO DE VULNERÁVEL,8.0,5.0,8.0,...,...,...,...,...,...,...,...,...,21.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
TOTAL DE ROUBO - OUTROS (1),331.0,257.0,221.0,...,...,...,...,...,...,...,...,...,809.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
ROUBO - OUTROS,329.0,253.0,221.0,...,...,...,...,...,...,...,...,...,803.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
ROUBO DE VEÍCULO,50.0,20.0,24.0,...,...,...,...,...,...,...,...,...,94.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
ROUBO A BANCO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
ROUBO DE CARGA,2.0,4.0,0.0,...,...,...,...,...,...,...,...,...,6.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
FURTO - OUTROS,214.0,182.0,121.0,...,...,...,...,...,...,...,...,...,517.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
FURTO DE VEÍCULO,82.0,111.0,47.0,...,...,...,...,...,...,...,...,...,240.0,2020,Carapicuíba,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO (2),4.0,1.0,3.0,...,...,...,...,...,...,...,...,...,8.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),4.0,1.0,3.0,...,...,...,...,...,...,...,...,...,8.0,2020,Cotia,Grande São Paulo (exclui a Capital)
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cotia,Grande São Paulo (exclui a Capital)
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cotia,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,0.0,1.0,1.0,...,...,...,...,...,...,...,...,...,2.0,2020,Cotia,Grande São Paulo (exclui a Capital)
HOMICÍDIO CULPOSO OUTROS,1.0,16.0,0.0,...,...,...,...,...,...,...,...,...,17.0,2020,Cotia,Grande São Paulo (exclui a Capital)
TENTATIVA DE HOMICÍDIO,3.0,1.0,4.0,...,...,...,...,...,...,...,...,...,8.0,2020,Cotia,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL SEGUIDA DE MORTE,0.0,0.0,0.0,...,...,...,...,...,...,...,...,...,0.0,2020,Cotia,Grande São Paulo (exclui a Capital)
LESÃO CORPORAL DOLOSA,47.0,53.0,37.0,...,...,...,...,...,...,...,...,...,137.0,2020,Cotia,Grande São Paulo (exclui a Capital)
